X1,Y1,X2,Y2,X3,Y3,X4,Y4
10.68571,382.5,10.68571,383.32999,10.68571,-723.51202,69.83241,-204.25
10.70571,430,10.70571,383.32999,10.70571,-676.01202,70.00481,-204.25
10.72571,455,10.72571,383.32999,10.72571,-651.01202,70.20441,-204.25
10.74571,392.5,10.74571,383.32999,10.74571,-713.51202,70.46681,-204.25
10.76571,405,10.76571,383.32999,10.76571,-701.01202,70.55911,-204.25
10.78571,400,10.78571,383.32999,10.78571,-706.01202,70.57631,-204.25
10.80571,460,10.80571,383.32999,10.80571,-646.01202,70.66821,-204.25
10.82571,425,10.82571,383.32999,10.82571,-681.01202,70.76081,-204.25
10.84571,375,10.84571,383.32999,10.84571,-731.01202,70.77811,-204.25
10.86571,352.5,10.86571,383.32999,10.86571,-753.51202,71.31241,-204.25
10.88571,340,10.88571,383.32999,10.88571,-766.01202,71.31241,-204.25
10.90571,407.5,10.90571,383.32999,10.90571,-698.51202,71.51691,-204.25
10.92571,352.5,10.92571,383.32999,10.92571,-753.51202,71.51691,-204.25
10.94571,395,10.94571,383.32999,10.94571,-711.01202,71.67921,-204.25
10.96571,402.5,10.96571,383.32999,10.96571,-703.51202,71.88511,-204.25
10.98571,387.5,10.98571,383.32999,10.98571,-718.51202,75.55501,-204.25
11.00571,345,11.00571,383.32999,11.00571,-761.01202,75.77591,-204.25
11.02571,420,11.02571,383.32999,11.02571,-686.01202,76.09311,-204.25
11.04571,327.5,11.04571,383.32999,11.04571,-778.51202,76.31631,-204.25
11.06571,402.5,11.06571,382.20001,11.06571,-702.38208,79.34761,-204.25
11.08571,390,11.08571,381.06,11.08571,-713.74207,79.58411,-204.25
11.10571,385,11.10571,379.92001,11.10571,-717.60205,79.62951,-204.25
11.12571,380,11.12571,378.79001,11.12571,-721.47205,79.86721,-204.25
11.14571,362.5,11.14571,377.64999,11.14571,-737.83203,80.33601,-204.25
11.16571,445,11.16571,376.51999,11.16571,-654.20203,80.57671,-204.25
11.18571,355,11.18571,375.38,11.18571,-743.06207,80.68871,-204.25
11.20571,397.5,11.20571,374.23999,11.20571,-699.42206,80.93091,-204.25
11.22571,430,11.22571,373.10999,11.22571,-665.79205,83.56411,-204.25
11.24571,405,11.24571,371.97,11.24571,-689.65204,83.81891,-204.25
11.26571,427.5,11.26571,370.82999,11.26571,-666.01202,84.96261,-204.25
11.28571,347.5,11.28571,369.70001,11.28571,-744.88208,85.22371,-204.25
11.30571,382.5,11.30571,368.56,11.30571,-708.74207,87.88731,-204.25
11.32571,435,11.32571,367.42001,11.32571,-655.10205,88.16221,-204.25
11.34571,420,11.34571,366.29001,11.34571,-668.97205,88.40941,-204.25
11.36571,370,11.36571,365.14999,11.36571,-717.83203,88.42561,-204.25
11.38571,362.5,11.38571,364.01999,11.38571,-724.20203,88.68681,-204.25
11.40571,402.5,11.40571,362.88,11.40571,-683.06207,88.70311,-204.25
11.42571,415,11.42571,361.73999,11.42571,-669.42206,89.46941,-204.25
11.44571,412.5,11.44571,360.60999,11.44571,-670.79205,89.75201,-204.25
11.46571,397.5,11.46571,359.47,11.46571,-684.65204,92.31811,-204.25
11.48571,400,11.48571,358.32999,11.48571,-681.01202,92.61511,-204.25
11.50571,407.5,11.50571,357.20001,11.50571,-672.38208,93.18871,-204.25
11.52571,422.5,11.52571,356.06,11.52571,-656.24207,93.49041,-204.25
11.54571,377.5,11.54571,354.92001,11.54571,-700.10205,93.71151,-204.25
11.56571,360,11.56571,353.79001,11.56571,-716.47205,93.88581,-204.25
11.58571,460,11.58571,352.64999,11.58571,-615.33203,94.01591,-204.25
11.60571,375,11.60571,351.51999,11.60571,-699.20203,94.19111,-204.25
11.62571,362.5,11.62571,350.38,11.62571,-710.56207,0,0
11.64571,335,11.64571,349.23999,11.64571,-736.92206,,
11.66571,410,11.66571,348.10999,11.66571,-660.79205,,
11.68571,445,11.68571,346.97,11.68571,-624.65204,,
11.70571,367.5,11.70571,345.82999,11.70571,-701.01202,,
11.72571,375,11.72571,344.70001,11.72571,-692.38208,,
11.74571,382.5,11.74571,343.56,11.74571,-683.74207,,
11.76571,347.5,11.76571,342.42001,11.76571,-717.60205,,
11.78571,357.5,11.78571,341.29001,11.78571,-706.47205,,
11.80571,357.5,11.80571,340.14999,11.80571,-705.33203,,
11.82571,385,11.82571,339.01999,11.82571,-676.70203,,
11.84571,367.5,11.84571,337.88,11.84571,-693.06207,,
11.86571,332.5,11.86571,336.73999,11.86571,-726.92206,,
11.88571,425,11.88571,335.60999,11.88571,-633.29205,,
11.90571,320,11.90571,334.47,11.90571,-737.15204,,
11.92571,295,11.92571,333.32999,11.92571,-761.01202,,
11.94571,385,11.94571,333.53,11.94571,-671.21204,,
11.96571,372.5,11.96571,333.73001,11.96571,-683.91205,,
11.98571,362.5,11.98571,333.94,11.98571,-694.12207,,
12.00571,347.5,12.00571,334.14001,12.00571,-709.32208,,
12.02571,327.5,12.02571,334.34,12.02571,-729.52203,,
12.04571,390,12.04571,334.54001,12.04571,-667.22205,,
12.06571,330,12.06571,334.73999,12.06571,-727.42206,,
