X1	Y1	NormalY1	X2	InterpolY2
122.323	2.48917	77.78656		
122.357	2.4893	77.79063		
122.404	2.48936	77.7925		
122.43	2.48885	77.77656		
122.455	2.4882	77.75625		
122.488	2.48799	77.74969		
122.538	2.48786	77.74563		
122.56	2.48795	77.74844		
122.592	2.48808	77.7525		
122.623	2.48807	77.75219		
122.646	2.48794	77.74813		
122.686	2.48799	77.74969		
122.722	2.48811	77.75344		
122.754	2.48812	77.75375		
122.788	2.4883	77.75938		
122.825	2.48801	77.75031		
122.862	2.48758	77.73687		
122.898	2.48757	77.73656		
122.929	2.48763	77.73844		
122.957	2.48758	77.73687		
122.985	2.48747	77.73344		
123.024	2.48731	77.72844		
123.062	2.48723	77.72594		
123.081	2.48736	77.73		
123.123	2.48712	77.7225		
123.156	2.48687	77.71469		
123.183	2.48677	77.71156		
123.22	2.4868	77.7125		
123.265	2.48698	77.71813		
123.286	2.48705	77.72031		
123.31	2.48708	77.72125		
123.346	2.48707	77.72094		
123.383	2.48714	77.72313		
123.42	2.4872	77.725		
123.45	2.4871	77.72187		
123.476	2.4869	77.71563		
123.509	2.48665	77.70781		
123.547	2.48658	77.70562		
123.585	2.48646	77.70188		
123.621	2.48635	77.69844		
123.658	2.48646	77.70188		
123.674	2.48653	77.70406		
123.715	2.48642	77.70063		
123.756	2.48612	77.69125		
123.787	2.48585	77.68281		
123.829	2.48578	77.68063		
123.861	2.48575	77.67969		
123.888	2.48585	77.68281		
123.918	2.48603	77.68844		
123.959	2.48609	77.69031		
124.002	2.48611	77.69094		
124.035	2.48613	77.69156		
124.063	2.48601	77.68781		
124.098	2.48567	77.67719		
124.132	2.48531	77.66594		
124.173	2.48492	77.65375		
124.211	2.48494	77.65438		
124.236	2.48527	77.66469		
124.265	2.48537	77.66781		
124.294	2.48544	77.67		
124.336	2.48511	77.65969		
124.383	2.4848	77.65		
124.412	2.48498	77.65563		
124.443	2.48499	77.65594		
124.467	2.48499	77.65594		
124.492	2.48479	77.64969		
124.539	2.48448	77.64		
124.579	2.48455	77.64219		
124.608	2.48462	77.64437		
124.635	2.48457	77.64281		
124.662	2.48437	77.63656		
124.701	2.48437	77.63656		
124.74	2.48454	77.64187		
